,len_original,ip_id,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
368,54.0,47640.0,20.0,64.0,2253176000.0,1144960400.0,5.0,0.0
369,60.0,26934.0,20.0,64.0,1144960400.0,2253176000.0,5.0,1728.0
370,66.0,0.0,32.0,64.0,1148368400.0,2223752400.0,8.0,5840.0
371,66.0,0.0,32.0,64.0,1148368400.0,2223752400.0,8.0,5840.0
372,54.0,56843.0,20.0,64.0,2223752400.0,1148368400.0,5.0,1026.0
373,202.0,56844.0,168.0,64.0,2223752400.0,1148368400.0,5.0,1026.0
374,60.0,26882.0,20.0,64.0,1148368400.0,2223752700.0,5.0,1728.0
375,54.0,56845.0,20.0,64.0,2223752700.0,1148368400.0,5.0,0.0
376,60.0,26883.0,20.0,64.0,1148368400.0,2223752700.0,5.0,1728.0
377,66.0,0.0,32.0,64.0,1152707500.0,3736450800.0,8.0,5840.0
378,66.0,0.0,32.0,64.0,1152707500.0,3736450800.0,8.0,5840.0
379,54.0,37735.0,20.0,64.0,3736450800.0,1152707500.0,5.0,1026.0
380,122.0,37736.0,88.0,64.0,3736450800.0,1152707500.0,5.0,1026.0
381,60.0,14281.0,20.0,64.0,1152707500.0,3736451000.0,5.0,1460.0
382,54.0,37737.0,20.0,64.0,3736451000.0,1152707500.0,5.0,0.0
383,60.0,14282.0,20.0,64.0,1152707500.0,3736451000.0,5.0,1460.0
384,66.0,0.0,32.0,64.0,1158999800.0,1619557600.0,8.0,5840.0
385,66.0,0.0,32.0,64.0,1158999800.0,1619557600.0,8.0,5840.0
386,54.0,53890.0,20.0,64.0,1619557600.0,1158999800.0,5.0,513.0
387,122.0,53891.0,88.0,64.0,1619557600.0,1158999800.0,5.0,513.0
388,60.0,12856.0,20.0,64.0,1158999800.0,1619557800.0,5.0,1460.0
389,54.0,53892.0,20.0,64.0,1619557800.0,1158999800.0,5.0,0.0
390,60.0,12857.0,20.0,64.0,1158999800.0,1619557800.0,5.0,1460.0
391,66.0,55770.0,32.0,64.0,3433548500.0,248299330.0,8.0,64000.0
392,66.0,55770.0,32.0,64.0,3433548500.0,248299330.0,8.0,64000.0
393,54.0,42858.0,20.0,64.0,248299330.0,3433548500.0,5.0,1026.0
394,97.0,42859.0,63.0,64.0,248299330.0,3433548500.0,5.0,1026.0
395,73.0,55771.0,39.0,64.0,3433548500.0,248299380.0,5.0,63957.0
396,259.0,42860.0,225.0,64.0,248299380.0,3433548500.0,5.0,1026.0
397,896.0,55772.0,862.0,64.0,3433548500.0,248299570.0,5.0,63752.0
398,380.0,42861.0,346.0,64.0,248299570.0,3433549600.0,5.0,1023.0
399,113.0,55773.0,79.0,64.0,3433549600.0,248299900.0,5.0,63426.0
400,139.0,42862.0,105.0,64.0,248299900.0,3433549600.0,5.0,1022.0
401,347.0,55774.0,313.0,64.0,3433549600.0,248299980.0,5.0,63341.0
402,731.0,42863.0,697.0,64.0,248299980.0,3433549800.0,5.0,1021.0
403,60.0,55775.0,20.0,64.0,3433549800.0,248300660.0,5.0,62664.0
404,91.0,55776.0,57.0,64.0,3433549800.0,248300660.0,5.0,62664.0
405,54.0,42864.0,20.0,64.0,248300660.0,3433549800.0,5.0,0.0
406,66.0,0.0,32.0,64.0,1164145200.0,1562499800.0,8.0,5840.0
407,66.0,0.0,32.0,64.0,1164145200.0,1562499800.0,8.0,5840.0
408,54.0,7759.0,20.0,64.0,1562499800.0,1164145200.0,5.0,513.0
409,122.0,7760.0,88.0,64.0,1562499800.0,1164145200.0,5.0,513.0
410,60.0,44786.0,20.0,64.0,1164145200.0,1562500000.0,5.0,1460.0
411,60.0,44787.0,20.0,64.0,1164145200.0,1562500000.0,5.0,1460.0
412,66.0,0.0,32.0,64.0,1153708500.0,2509830700.0,8.0,5840.0
413,66.0,0.0,32.0,64.0,1153708500.0,2509830700.0,8.0,5840.0
414,54.0,37915.0,20.0,64.0,2509830700.0,1153708500.0,5.0,1025.0
415,122.0,37916.0,88.0,64.0,2509830700.0,1153708500.0,5.0,1025.0
416,60.0,61153.0,20.0,64.0,1153708500.0,2509830700.0,5.0,1460.0
417,60.0,61154.0,20.0,64.0,1153708500.0,2509830700.0,5.0,1460.0
418,74.0,0.0,40.0,64.0,1167178800.0,1011588900.0,10.0,5792.0
419,74.0,0.0,40.0,64.0,1167178800.0,1011588900.0,10.0,5792.0
420,66.0,54051.0,32.0,64.0,1011588900.0,1167178800.0,8.0,502.0
421,134.0,54052.0,100.0,64.0,1011588900.0,1167178800.0,8.0,502.0
422,66.0,26410.0,32.0,64.0,1167178800.0,1011589000.0,8.0,1448.0
