,ip_id
0,12918.0
1,327.0
2,34257.0
3,24599.0
4,49286.0
5,36441.0
6,62308.0
7,58496.0
8,55444.0
9,62908.0
10,62600.0
11,13536.0
12,4250.0
13,33834.0
14,60650.0
15,52113.0
16,63366.0
17,13311.0
18,61325.0
19,19476.0
20,21791.0
21,46764.0
22,35299.0
23,48024.0
24,63265.0
25,7332.0
26,25125.0
27,57803.0
28,20257.0
29,42863.0
30,17659.0
31,11420.0
32,57622.0
33,13114.0
34,38096.0
35,1783.0
36,16616.0
37,62648.0
38,45353.0
39,58579.0
40,14104.0
41,13705.0
42,9660.0
43,27124.0
44,26121.0
45,46301.0
46,11652.0
47,13544.0
48,44069.0
49,15431.0
50,14381.0
51,35221.0
52,5155.0
53,15679.0
54,24157.0
55,18290.0
56,57788.0
57,13309.0
58,21163.0
59,17666.0
60,57778.0
61,35298.0
62,16838.0
63,48528.0
64,49626.0
65,49505.0
66,12464.0
67,21341.0
68,32839.0
69,31992.0
70,8475.0
71,61951.0
72,12255.0
73,51162.0
74,51314.0
75,46254.0
76,11912.0
77,32430.0
78,14837.0
79,41127.0
80,9774.0
81,24707.0
82,28953.0
83,9320.0
84,29331.0
85,0.0
86,34887.0
87,61389.0
88,25144.0
89,37953.0
90,0.0
91,57705.0
92,18514.0
93,57503.0
94,34777.0
95,25312.0
96,45291.0
97,40213.0
98,30792.0
99,13187.0
100,60038.0
101,32104.0
102,6512.0
103,24082.0
104,14993.0
105,60384.0
106,54533.0
107,47918.0
108,50436.0
109,64092.0
110,24467.0
111,32128.0
112,28036.0
113,35323.0
114,49712.0
115,24716.0
116,45936.0
117,41723.0
118,29809.0
119,49481.0
120,42166.0
121,49731.0
122,6521.0
123,29787.0
124,56712.0
125,33452.0
126,37723.0
127,40514.0
128,62904.0
129,55669.0
130,13810.0
131,55782.0
132,46771.0
133,27986.0
134,27136.0
135,64086.0
136,25654.0
137,29536.0
138,45479.0
139,0.0
140,62273.0
141,38758.0
142,8021.0
143,7620.0
144,57570.0
145,53372.0
146,31318.0
147,20768.0
148,53592.0
149,48605.0
150,15715.0
151,4744.0
152,60569.0
153,1020.0
154,65019.0
155,55764.0
156,37063.0
157,8774.0
158,61517.0
159,20858.0
160,47728.0
161,13159.0
162,54143.0
163,61191.0
164,23430.0
165,52586.0
166,60236.0
167,48158.0
168,56502.0
169,60403.0
170,49740.0
171,8732.0
172,6176.0
173,48258.0
174,24569.0
175,40011.0
176,24903.0
177,8157.0
178,31594.0
