,len_original,ip_id,total_length,fragment_offset,ip_src,ip_dst,tcp_src,tcp_dst,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
48,60.0,44068.0,20.0,64.0,3232236018.0,3557280651.0,51413.0,40592.0,1032892306.0,3687686339.0,5.0,1728.0
49,97.0,15430.0,63.0,64.0,3113450594.0,3232235911.0,60230.0,3389.0,542692239.0,2803834925.0,5.0,8212.0
50,74.0,0.0,40.0,64.0,3232236018.0,1382423459.0,51413.0,45283.0,1912175727.0,2463198468.0,10.0,5792.0
51,117.0,35220.0,83.0,64.0,3232236018.0,1868205338.0,34279.0,443.0,3167628350.0,3674232847.0,8.0,1422.0
52,604.0,5154.0,570.0,64.0,1604650397.0,3232236018.0,57377.0,51413.0,1241331603.0,3661825447.0,8.0,502.0
53,66.0,15678.0,32.0,64.0,1547481984.0,3232236018.0,59098.0,51413.0,37514035.0,0.0,8.0,65535.0
54,74.0,24156.0,40.0,64.0,1380103521.0,3232236018.0,35453.0,51413.0,2345539485.0,0.0,10.0,65535.0
55,380.0,18289.0,346.0,64.0,3104298609.0,3232235911.0,19896.0,3389.0,1588485849.0,1292746783.0,5.0,1023.0
56,66.0,57787.0,32.0,64.0,3232236018.0,2454113464.0,51413.0,61284.0,1149101817.0,1497277691.0,8.0,1448.0
57,66.0,0.0,32.0,64.0,3232236018.0,634790261.0,51413.0,3357.0,3458554314.0,4245678640.0,8.0,5840.0
58,54.0,21162.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671899895.0,2729710474.0,5.0,6145.0
59,74.0,17665.0,40.0,64.0,3187836335.0,3232236018.0,50143.0,51413.0,3222865288.0,0.0,10.0,64240.0
60,435.0,57777.0,401.0,64.0,3232236018.0,2997846923.0,43779.0,443.0,950551099.0,3918131855.0,8.0,1174.0
61,74.0,0.0,40.0,64.0,1746214913.0,3232236018.0,80.0,46813.0,545587541.0,2579713023.0,10.0,65535.0
62,66.0,16837.0,32.0,64.0,2995579662.0,3232236018.0,56618.0,51413.0,3423500029.0,0.0,8.0,64240.0
63,66.0,48527.0,32.0,64.0,3120450341.0,3232236018.0,56861.0,51413.0,235762120.0,0.0,8.0,64320.0
64,187.0,49625.0,153.0,64.0,1599260835.0,3232236018.0,53126.0,51413.0,2427915212.0,238153487.0,5.0,1025.0
65,54.0,49504.0,20.0,64.0,780810394.0,3232236018.0,3495.0,51413.0,3965276854.0,1293973587.0,5.0,513.0
66,66.0,12463.0,32.0,64.0,3119960779.0,3232236018.0,61137.0,51413.0,651098752.0,0.0,8.0,64240.0
67,66.0,11642.0,32.0,64.0,1315650231.0,3232236018.0,21625.0,51413.0,3863242332.0,0.0,8.0,8192.0
68,74.0,32838.0,40.0,64.0,1502994952.0,3232236018.0,59542.0,51413.0,3024150686.0,0.0,10.0,65535.0
69,54.0,31991.0,20.0,64.0,2962573905.0,3232236018.0,57857.0,51413.0,2086230810.0,2098268823.0,5.0,255.0
70,60.0,8474.0,20.0,64.0,3232236018.0,1540318883.0,51413.0,56751.0,2463603933.0,1908706357.0,5.0,1460.0
71,74.0,61950.0,40.0,64.0,1595409663.0,3232236018.0,23031.0,51413.0,706598236.0,0.0,10.0,64240.0
72,122.0,12254.0,88.0,64.0,3155366516.0,3232236018.0,58131.0,51413.0,2255387262.0,3104606517.0,5.0,512.0
73,66.0,51161.0,32.0,64.0,3584857040.0,3232236018.0,11802.0,51413.0,2662994863.0,0.0,8.0,65535.0
74,66.0,51313.0,32.0,64.0,1409505850.0,3232236018.0,61693.0,51413.0,2850857888.0,0.0,8.0,64240.0
75,74.0,46253.0,40.0,64.0,3232236018.0,1868205338.0,51559.0,443.0,1551541273.0,0.0,10.0,5840.0
76,66.0,11911.0,32.0,64.0,1868205338.0,3232236018.0,443.0,44343.0,1728424885.0,1422203763.0,8.0,506.0
77,66.0,32429.0,32.0,64.0,2990871793.0,3232236018.0,52582.0,51413.0,3381400432.0,0.0,8.0,64240.0
78,122.0,14834.0,88.0,64.0,1599375677.0,3232236018.0,57655.0,51413.0,2459020888.0,1666958727.0,5.0,255.0
79,66.0,41126.0,32.0,64.0,3104298609.0,3232235911.0,7954.0,3389.0,1660636686.0,0.0,8.0,64240.0
80,66.0,9773.0,32.0,64.0,3232236018.0,1746219009.0,48140.0,80.0,3453105096.0,3179145842.0,8.0,1460.0
81,54.0,24706.0,20.0,64.0,1441572414.0,3232235911.0,62790.0,3389.0,2246378606.0,2452012939.0,5.0,256.0
82,583.0,28952.0,549.0,64.0,3232236018.0,3103937295.0,59748.0,443.0,2522686440.0,2772039187.0,8.0,1460.0
83,347.0,9319.0,313.0,64.0,3232235911.0,3104298607.0,3389.0,49052.0,3230723618.0,793420357.0,5.0,63341.0
84,66.0,29330.0,32.0,64.0,1360610945.0,3232236018.0,35281.0,51413.0,991124501.0,0.0,8.0,64240.0
85,66.0,10090.0,32.0,64.0,3232236018.0,3680289034.0,51413.0,55314.0,1043791508.0,3378658544.0,8.0,1716.0
86,66.0,0.0,32.0,64.0,3232236018.0,3169993942.0,51413.0,49800.0,3321452934.0,1353798594.0,8.0,5840.0
87,60.0,61388.0,20.0,64.0,3232235911.0,3337925018.0,3389.0,33262.0,3155957886.0,1377010752.0,5.0,63962.0
88,896.0,25143.0,862.0,64.0,3232235911.0,3266588808.0,3389.0,33485.0,1383079790.0,2866246373.0,5.0,63752.0
89,66.0,0.0,32.0,64.0,3232236018.0,3169005669.0,51413.0,9620.0,1345298238.0,2294878726.0,8.0,5840.0
90,66.0,0.0,32.0,64.0,3232236018.0,1522333781.0,51413.0,14452.0,933763086.0,3660592158.0,8.0,5840.0
91,66.0,57704.0,32.0,64.0,3104840943.0,3232236018.0,19150.0,51413.0,764971377.0,0.0,8.0,64240.0
92,54.0,18513.0,20.0,64.0,757797844.0,3232236018.0,51845.0,51413.0,3671891742.0,2721862068.0,5.0,6140.0
93,60.0,57502.0,20.0,64.0,3232236018.0,3240132332.0,51413.0,60691.0,2213434692.0,1890069005.0,5.0,1745.0
94,74.0,0.0,40.0,64.0,3232236018.0,3247102680.0,51413.0,59988.0,1779264425.0,3026387521.0,10.0,5792.0
95,74.0,25311.0,40.0,64.0,3116919270.0,3232236018.0,50292.0,51413.0,2364180290.0,0.0,10.0,64240.0
96,74.0,0.0,40.0,64.0,3232236018.0,1502286360.0,51413.0,58079.0,4161850162.0,1697886156.0,10.0,5792.0
97,66.0,40212.0,32.0,64.0,780810394.0,3232236018.0,3843.0,51413.0,3653134471.0,0.0,8.0,64240.0
98,66.0,30791.0,32.0,64.0,522747646.0,3232236018.0,7301.0,51413.0,1278692689.0,0.0,8.0,64240.0
99,715.0,13186.0,681.0,64.0,3271810869.0,3232235911.0,54988.0,3389.0,3660695958.0,4248048910.0,5.0,1021.0
100,66.0,0.0,32.0,64.0,3232236018.0,3161555321.0,51413.0,49570.0,3948567968.0,3446647389.0,8.0,5840.0
